smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
CCC[n+]1ccn(C)c1.O=C[O-],IM-C1-C3,CCC[n+]1ccn(C)c1,Formate,[O-]C=O,170.21199999999996
CCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,IM-C1-C3,CCC[n+]1ccn(C)c1,Benzoate,[O-]C(=O)c1ccccc1,246.30999999999997
CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,NTf2,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,419.369
CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,BF4,F[B-](F)(F)F,226.02599999999995
CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,PF6,F[P-](F)(F)(F)(F)F,284.1839999999999
CCCC[n+]1ccn(C)c1.[Cl-],IM-C1-C4,CCCC[n+]1ccn(C)c1,Cl,[Cl-],174.67499999999998
CCCC[n+]1ccn(C)c1.[Br-],IM-C1-C4,CCCC[n+]1ccn(C)c1,Br,[Br-],219.12599999999998
CCCC[n+]1ccn(C)c1.N#C[N-]C#N,IM-C1-C4,CCCC[n+]1ccn(C)c1,DCA,N#C[N-]C#N,205.265
CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,IM-C1-C4,CCCC[n+]1ccn(C)c1,TCM,[C-](C#N)(C#N)C#N,229.28699999999998
CC(=O)[O-].CCCC[n+]1ccn(C)c1,IM-C1-C4,CCCC[n+]1ccn(C)c1,OAc,CC([O-])=O,198.26599999999996
CCCC[n+]1ccn(C)c1.N#C[S-],IM-C1-C4,CCCC[n+]1ccn(C)c1,SCN,[S-]C#N,197.307
CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],IM-C1-C4,CCCC[n+]1ccn(C)c1,NO3,[O-][N+]([O-])=O,201.22599999999997
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,OTf,[O-]S(=O)(=O)C(F)(F)F,288.29099999999994
CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],IM-C1-C4,CCCC[n+]1ccn(C)c1,EtSO4,CCOS([O-])(=O)=O,264.347
CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],IM-C1-C4,CCCC[n+]1ccn(C)c1,MeSO4,COS([O-])(=O)=O,250.31999999999996
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,IM-C1-C4,CCCC[n+]1ccn(C)c1,HSO4,[O-]S(O)(=O)=O,236.29299999999998
CCCC[n+]1ccn(C)c1.NCC(=O)[O-],IM-C1-C4,CCCC[n+]1ccn(C)c1,Gly,[NH2]CC([O-])=O,213.28099999999995
CCCC[n+]1ccn(C)c1.O=C([O-])C1CCCN1,IM-C1-C4,CCCC[n+]1ccn(C)c1,Pro,[O-]C(=O)C1CCCN1,253.34599999999995
CC(O)C(=O)[O-].CCCC[n+]1ccn(C)c1,IM-C1-C4,CCCC[n+]1ccn(C)c1,Lac,CC(O)C([O-])=O,228.29199999999997
CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,TFA,[O-]C(=O)C(F)(F)F,252.23599999999993
CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,BETI,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,519.383
CCCC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IM-C1-C4,CCCC[n+]1ccn(C)c1,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,319.355
CCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,IM-C1-C4,CCCC[n+]1ccn(C)c1,B(CN)4,[B-](C#N)(C#N)(C#N)C#N,254.106
CCCC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,IM-C1-C4,CCCC[n+]1ccn(C)c1,DEP,CCOP([O-])(=O)OCC,292.31600000000003
CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],IM-C1-C4,CCCC[n+]1ccn(C)c1,MeSO3,CS([O-])(=O)=O,234.32099999999997
CCCC[n+]1ccn(C)c1.O=C[O-],IM-C1-C4,CCCC[n+]1ccn(C)c1,Formate,[O-]C=O,184.23899999999998
CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,IM-C1-C4,CCCC[n+]1ccn(C)c1,Benzoate,[O-]C(=O)c1ccccc1,260.337
CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,NTf2,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,433.396
CCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,IM-C1-C5,CCCCC[n+]1ccn(C)c1,BF4,F[B-](F)(F)F,240.05299999999997
