temperature_K,pressure_bar
358.15,1.02
363.15,1.02
263.01,1.0
264.255,1.0
265.105,1.0
265.945,1.0
266.775,1.0
268.015,1.0
269.28,1.0
270.11,1.0
270.93,1.0
271.8,1.0
273.24,1.0
274.17,1.0
274.99,1.0
275.78999999999996,1.0
276.985,1.0
278.149,1.0
278.97,1.0
279.76,1.0
280.96,1.0
282.155,1.0
283.05449999999996,1.0
283.75,1.0
284.95500000000004,1.0
286.155,1.0
286.95,1.0
287.755,1.0
288.96000000000004,1.0
290.17,1.0
290.975,1.0
291.78,1.0
293.15,1.0
294.21000000000004,1.0
295.02,1.0
295.82500000000005,1.0
297.025,1.0
298.15,1.0
299.015,1.0
299.82,1.0
301.02,1.0
302.225,1.0
303.09,1.005
303.83,1.0
305.03,1.0
306.235,1.0
307.03499999999997,1.0
307.91499999999996,1.0
309.03999999999996,1.0
310.245,1.0
311.05,1.0
311.85,1.0
313.15,1.0
314.265,1.0
315.065,1.0
315.87,1.0
317.07000000000005,1.0
318.21,1.0
319.085,1.0
319.89,1.0
