temperature_K,pressure_bar
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
353.15,1.01325
363.15,1.01325
278.15,1.01325
280.65,1.01325
283.15,325.0
285.65,1.01325
288.15,275.0
290.65,1.01325
293.15,299.57
295.65,1.01325
298.15,300.0
300.65,1.01325
303.15,200.0
305.65,1.01325
308.15,250.0
310.65,1.01325
313.15,299.13
315.65,1.01325
318.15,250.0
320.65,1.01325
323.15,200.0
325.65,1.01325
328.15,250.0
333.15,299.58500000000004
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.14,299.42
363.15,1.006625
373.15,451.89
393.16,448.725
263.45,1.0
267.95,1.0
273.54,1.0
278.65,1.0
283.15,374.95
288.63,1.0
293.19,375.05
293.52,1.0
298.2,1.0
303.16,350.0
308.01,1.0
313.15,349.7
318.36,1.0
323.16,350.0
327.88,1.0
333.15,350.1
337.59,1.0
342.27,1.0
343.16,374.95
348.16,1.0
353.17,349.9
358.02,1.0
363.15,375.05
293.15,1.006625
298.15,8.0
303.15,1.006625
308.15,8.0
313.15,1.006625
318.15,8.0
323.15,1.006625
328.15,8.0
333.15,1.006625
338.15,8.0
343.15,1.006625
353.15,1.006625
363.15,1.006625
278.15,1.01325
280.65,1.01325
283.15,325.0
285.65,1.01325
288.15,300.0
290.65,1.01325
293.15,299.875
295.65,1.01325
298.15,300.0
300.65,1.01325
303.15,250.0
305.65,1.01325
308.15,250.0
310.65,1.01325
313.15,300.21
315.65,1.01325
318.15,275.0
320.65,1.01325
323.15,250.0
325.65,1.01325
328.15,300.0
333.15,350.0
343.14,1.01
353.16,399.09
363.14,1.01
373.15,449.995
393.16,450.515
278.15,1.01325
280.65,1.01325
283.15,100.0
285.65,1.01325
288.15,225.0
290.65,1.01325
293.15,250.0
295.65,1.01325
298.15,300.0
300.65,1.01325
303.15,250.0
305.65,1.01325
308.15,300.0
310.65,1.01325
313.15,250.0
315.65,1.01325
318.15,300.0
320.65,1.01325
323.15,250.0
325.65,1.01325
328.15,300.0
333.15,275.0
343.15,1.006625
353.15,1.006625
363.15,1.006625
288.15,1.01
293.15,1.01
298.15,1.01
303.15,1.011625
308.15,1.011625
313.15,1.011625
318.15,1.011625
323.15,1.011625
328.15,1.011625
333.15,1.011625
338.15,1.011625
343.15,1.01
348.15,1.01
353.15,1.01
200.0,1.0
205.0,1.0
210.0,1.0
215.0,1.0
220.0,1.0
225.0,1.0
230.0,1.0
235.0,1.0
240.0,1.0
245.0,1.0
250.0,1.0
255.0,1.0
260.0,1.0
265.0,1.0
270.0,1.0
275.0,1.0
278.15,1.01325
280.0,1.0
280.65,1.0
283.15,1.01325
285.65,1.0
288.15,1.01325
290.65,1.0
293.15,1.01325
295.65,1.0
298.15,25.7
300.65,1.0
303.15,37.5
305.65,1.0
308.15,37.5
310.65,1.0
313.15,37.5
315.65,1.0
318.15,37.5
320.65,1.0
323.15,125.0
325.65,1.0
328.15,50.0
330.65,1.0
333.15,50.0
335.65,1.0
338.15,50.0
343.15,1.01325
348.15099999999995,150.0
353.15,1.01325
358.15,1.01325
363.15,1.01325
373.15,400.0
398.1575,450.0
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
298.75,1.01325
301.75,1.01325
302.65,1.01325
304.55,1.01325
306.25,1.01325
308.45,1.01325
310.35,1.01325
312.35,1.01325
313.95,1.01325
316.05,1.01325
317.95,1.01325
319.75,1.01325
321.75,1.01325
278.15,1.01325
283.15,100.0
285.65,150.0
288.15,100.0
290.65,125.0
293.15,25.0
294.95,1.01325
295.65,150.0
297.0,1.01325
298.15,100.0
299.15,1.01325
300.2,1.01325
300.65,75.0
302.17499999999995,1.011625
303.15,13.006625
304.17499999999995,1.011625
305.15,1.01325
305.65,125.0
307.15,1.01325
308.15,50.0
310.65,150.0
313.15,25.0
315.65,150.0
318.15,50.0
320.65,150.0
323.15,25.0
325.65,150.0
328.15,75.0
330.65,150.0
333.15,25.0
335.65,150.0
338.15,37.5
340.65,150.0
343.15,1.01325
345.65,150.0
348.15,100.0
350.65,150.0
353.15,13.006625
358.14,1.01325
363.15,1.01325
368.1,1.01325
333.15,1.0
338.15,1.0
343.15,1.0
348.15,1.0
353.15,1.0
358.15,1.0
363.15,1.0
368.15,1.0
373.15,1.0
273.16,507.0
